"ScriptName","Severity","Line","Column","RuleName","Message"
"Deploy-B1Appliance.ps1","Warning","949","25","PSUseDeclaredVarsMoreThanAssignments","The variable 'AzConnect' is assigned but never used."
"Deploy-B1Appliance.ps1","Warning","967","29","PSUseDeclaredVarsMoreThanAssignments","The variable 'AzureImageURN' is assigned but never used."
"Get-B1Applications.ps1","Information","34","1","PSAvoidTrailingWhitespace","Line has trailing whitespace"
"New-B1Host.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'New-B1Host' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"New-B1Service.ps1","Warning","50","13","PSReviewUnusedParameter","The parameter 'Strict' has been declared but not used. "
"New-B1Service.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'New-B1Service' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Remove-B1Host.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Remove-B1Host' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Remove-B1Service.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Remove-B1Service' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Restart-B1Host.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Restart-B1Host' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Set-B1Host.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Set-B1Host' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Start-B1DiagnosticTask.ps1","Warning","73","5","PSAvoidDefaultValueSwitchParameter","File 'Start-B1DiagnosticTask.ps1' has a switch parameter default to true."
"Start-B1DiagnosticTask.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Start-B1DiagnosticTask' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Start-B1Service.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Start-B1Service' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Stop-B1Service.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Stop-B1Service' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Get-B1TideThreatClassDefaultTTL.ps1","Information","33","1","PSAvoidTrailingWhitespace","Line has trailing whitespace"
"Get-B1TideThreatInsightClass.ps1","Warning",,,"PSUseBOMForUnicodeEncodedFile","Missing BOM encoding for non-ASCII encoded file 'Get-B1TideThreatInsightClass.ps1'"
"New-B1CustomList.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'New-B1CustomList' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"New-B1DoHFQDN.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'New-B1DoHFQDN' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"New-B1InternalDomainList.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'New-B1InternalDomainList' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"New-B1LookalikeTarget.ps1","Warning","71","3","PSUseDeclaredVarsMoreThanAssignments","The variable 'Result' is assigned but never used."
"New-B1LookalikeTarget.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'New-B1LookalikeTarget' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"New-B1SecurityPolicy.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'New-B1SecurityPolicy' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"New-B1SecurityPolicyIPAMNetwork.ps1","Warning","47","9","PSUseDeclaredVarsMoreThanAssignments","The variable 'ParentID' is assigned but never used."
"New-B1SecurityPolicyIPAMNetwork.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'New-B1SecurityPolicyIPAMNetwork' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"New-B1SecurityPolicyRule.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'New-B1SecurityPolicyRule' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"New-B1TideDataProfile.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'New-B1TideDataProfile' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Remove-B1BypassCode.ps1","Warning","45","7","PSUseDeclaredVarsMoreThanAssignments","The variable 'Result' is assigned but never used."
"Remove-B1BypassCode.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Remove-B1BypassCode' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Remove-B1CustomList.ps1","Warning","54","9","PSUseDeclaredVarsMoreThanAssignments","The variable 'Results' is assigned but never used."
"Remove-B1CustomList.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Remove-B1CustomList' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Remove-B1InternalDomainList.ps1","Warning","60","7","PSUseDeclaredVarsMoreThanAssignments","The variable 'Result' is assigned but never used."
"Remove-B1InternalDomainList.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Remove-B1InternalDomainList' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Remove-B1LookalikeTarget.ps1","Warning","55","5","PSUseDeclaredVarsMoreThanAssignments","The variable 'Result' is assigned but never used."
"Remove-B1LookalikeTarget.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Remove-B1LookalikeTarget' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Remove-B1NetworkList.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Remove-B1NetworkList' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Remove-B1SecurityPolicy.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Remove-B1SecurityPolicy' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Set-B1CustomList.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Set-B1CustomList' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Set-B1InternalDomainList.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Set-B1InternalDomainList' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Set-B1LookalikeTarget.ps1","Warning","68","3","PSUseDeclaredVarsMoreThanAssignments","The variable 'Result' is assigned but never used."
"Set-B1LookalikeTarget.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Set-B1LookalikeTarget' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Set-B1SecurityPolicy.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Set-B1SecurityPolicy' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Set-B1SOCInsight.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Set-B1SOCInsight' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Set-B1TideDataProfile.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Set-B1TideDataProfile' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Start-B1DossierBatchLookup.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Start-B1DossierBatchLookup' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Start-B1DossierLookup.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Start-B1DossierLookup' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Classes.ps1","Warning","22","9","PSAvoidAssignmentToAutomaticVariable","The Variable 'this' is an automatic variable that is built into PowerShell, assigning to it might have undesired side effects. If assignment is not by design, please use a different name."
"Get-B1CSPAPIKey.ps1","Warning","20","9","PSAvoidAssignmentToAutomaticVariable","The Variable 'Profile' is an automatic variable that is built into PowerShell, assigning to it might have undesired side effects. If assignment is not by design, please use a different name."
"Get-B1CSPAPIKey.ps1","Information","45","17","PSUseOutputTypeCorrectly","The cmdlet 'Get-B1CSPAPIKey' returns an object of type 'System.String' but this type is not declared in the OutputType attribute."
"Get-B1CSPUrl.ps1","Warning","28","17","PSAvoidAssignmentToAutomaticVariable","The Variable 'Profile' is an automatic variable that is built into PowerShell, assigning to it might have undesired side effects. If assignment is not by design, please use a different name."
"Get-B1CSPUrl.ps1","Warning","22","9","PSAvoidAssignmentToAutomaticVariable","The Variable 'Profile' is an automatic variable that is built into PowerShell, assigning to it might have undesired side effects. If assignment is not by design, please use a different name."
"Initialize-B1Config.ps1","Warning","21","9","PSUseDeclaredVarsMoreThanAssignments","The variable 'NewConfigFile' is assigned but never used."
"Invoke-CSP.ps1","Warning","51","15","PSAvoidAssignmentToAutomaticVariable","The Variable 'Profile' is an automatic variable that is built into PowerShell, assigning to it might have undesired side effects. If assignment is not by design, please use a different name."
"Invoke-CSP.ps1","Warning","137","13","PSPossibleIncorrectComparisonWithNull","$null should be on the left side of equality comparisons."
"Set-B1Context.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Set-B1Context' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Get-B1ConnectionProfile.ps1","Warning","53","36","PSAvoidAssignmentToAutomaticVariable","The Variable 'Profile' is an automatic variable that is built into PowerShell, assigning to it might have undesired side effects. If assignment is not by design, please use a different name."
"Get-B1ConnectionProfile.ps1","Warning","49","17","PSReviewUnusedParameter","The parameter 'IncludeAPIKey' has been declared but not used. "
"Get-B1ConnectionProfile.ps1","Information","85","9","PSUseOutputTypeCorrectly","The cmdlet 'Get-B1ConnectionProfile' returns an object of type 'System.Object[]' but this type is not declared in the OutputType attribute."
"New-B1ConnectionProfile.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'New-B1ConnectionProfile' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Remove-B1ConnectionProfile.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Remove-B1ConnectionProfile' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Remove-B1ConnectionProfile.ps1","Warning","42","9","PSUseSupportsShouldProcess","Whatif and/or Confirm manually defined in function Remove-B1ConnectionProfile. Instead, please use SupportsShouldProcess attribute."
"Get-B1Object.ps1","Warning","99","9","PSPossibleIncorrectComparisonWithNull","$null should be on the left side of equality comparisons."
"Get-B1Object.ps1","Warning","101","15","PSPossibleIncorrectComparisonWithNull","$null should be on the left side of equality comparisons."
"Get-B1Schema.ps1","Warning",,,"PSUseBOMForUnicodeEncodedFile","Missing BOM encoding for non-ASCII encoded file 'Get-B1Schema.ps1'"
"Get-B1Schema.ps1","Warning","137","5","PSUseDeclaredVarsMoreThanAssignments","The variable 'B1CSPUrl' is assigned but never used."
"Get-B1Schema.ps1","Warning","158","142","PSUseDeclaredVarsMoreThanAssignments","The variable 'h' is assigned but never used."
"Get-B1Schema.ps1","Warning","162","96","PSUseDeclaredVarsMoreThanAssignments","The variable 'h' is assigned but never used."
"Get-B1Schema.ps1","Warning","165","126","PSUseDeclaredVarsMoreThanAssignments","The variable 'h' is assigned but never used."
"Get-B1Schema.ps1","Warning","175","149","PSUseDeclaredVarsMoreThanAssignments","The variable 'h' is assigned but never used."
"Get-B1Schema.ps1","Warning","177","109","PSUseDeclaredVarsMoreThanAssignments","The variable 'h' is assigned but never used."
"Get-B1Schema.ps1","Warning","181","126","PSUseDeclaredVarsMoreThanAssignments","The variable 'h' is assigned but never used."
"New-B1Object.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'New-B1Object' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Set-B1Object.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Set-B1Object' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Get-NetworkInfo.ps1","Warning",,,"PSUseBOMForUnicodeEncodedFile","Missing BOM encoding for non-ASCII encoded file 'Get-NetworkInfo.ps1'"
"Misc.ps1","Warning","698","9","PSPossibleIncorrectComparisonWithNull","$null should be on the left side of equality comparisons."
"Misc.ps1","Warning","739","15","PSPossibleIncorrectComparisonWithNull","$null should be on the left side of equality comparisons."
"Misc.ps1","Warning","748","15","PSPossibleIncorrectComparisonWithNull","$null should be on the left side of equality comparisons."
"Misc.ps1","Warning","831","11","PSPossibleIncorrectComparisonWithNull","$null should be on the left side of equality comparisons."
"Misc.ps1","Warning","1","10","PSUseApprovedVerbs","The cmdlet 'Detect-OS' uses an unapproved verb."
"Misc.ps1","Warning","18","10","PSUseApprovedVerbs","The cmdlet 'Combine-Filters' uses an unapproved verb."
"Misc.ps1","Warning","76","10","PSUseApprovedVerbs","The cmdlet 'Match-Type' uses an unapproved verb."
"Misc.ps1","Warning","667","11","PSUseDeclaredVarsMoreThanAssignments","The variable 'Prefix' is assigned but never used."
"Misc.ps1","Warning","249","16","PSReviewUnusedParameter","The parameter 'Delimiter' has been declared but not used. "
"Misc.ps1","Warning","438","10","PSUseShouldProcessForStateChangingFunctions","Function 'New-B1Metadata' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Misc.ps1","Warning","508","10","PSUseShouldProcessForStateChangingFunctions","Function 'New-ISOFile' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Misc.ps1","Warning","929","10","PSUseShouldProcessForStateChangingFunctions","Function 'New-ibPSTelemetry' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Misc.ps1","Warning","842","3","PSUseCmdletCorrectly","Cmdlet 'Write-Output' may be used incorrectly. Please check that all mandatory parameters are supplied."
"Misc.ps1","Warning","945","9","PSAvoidUsingCmdletAliases","'echo' is an alias of 'Write-Output'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content."
"Resolve-DoHQuery.ps1","Warning","151","18","PSUseApprovedVerbs","The cmdlet 'Decode-QNAME' uses an unapproved verb."
"Resolve-DoHQuery.ps1","Warning","177","18","PSUseApprovedVerbs","The cmdlet 'ConvertBinary-ToDecimal' uses an unapproved verb."
"Resolve-DoHQuery.ps1","Warning","192","18","PSUseApprovedVerbs","The cmdlet 'Decompress-DNS' uses an unapproved verb."
"Resolve-DoHQuery.ps1","Warning","222","18","PSUseApprovedVerbs","The cmdlet 'ConvertHex-ToBinary' uses an unapproved verb."
"Resolve-DoHQuery.ps1","Warning",,,"PSUseBOMForUnicodeEncodedFile","Missing BOM encoding for non-ASCII encoded file 'Resolve-DoHQuery.ps1'"
"Resolve-DoHQuery.ps1","Warning","352","13","PSUseDeclaredVarsMoreThanAssignments","The variable 'OPT' is assigned but never used."
"Resolve-DoHQuery.ps1","Warning","197","13","PSUseDeclaredVarsMoreThanAssignments","The variable 'Length' is assigned but never used."
"Set-ibPSConfiguration.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Set-ibPSConfiguration' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Set-ibPSConfiguration.ps1","Warning","92","11","PSAvoidUsingCmdletAliases","'echo' is an alias of 'Write-Output'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content."
"Set-ibPSConfiguration.ps1","Warning","119","9","PSAvoidUsingCmdletAliases","'echo' is an alias of 'Write-Output'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content."
"Set-ibPSConfiguration.ps1","Warning","138","7","PSAvoidUsingCmdletAliases","'echo' is an alias of 'Write-Output'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content."
"Set-ibPSConfiguration.ps1","Warning","154","5","PSAvoidUsingCmdletAliases","'echo' is an alias of 'Write-Output'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content."
"Set-ibPSConfiguration.ps1","Warning","183","7","PSAvoidUsingCmdletAliases","'echo' is an alias of 'Write-Output'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content."
"Set-ibPSConfiguration.ps1","Warning","198","7","PSAvoidUsingCmdletAliases","'echo' is an alias of 'Write-Output'. Alias can introduce possible problems and make scripts hard to maintain. Please consider changing alias to its full content."
"ArgCompleter.ps1","Warning","2","11","PSReviewUnusedParameter","The parameter 'commandName' has been declared but not used. "
"ArgCompleter.ps1","Warning","2","25","PSReviewUnusedParameter","The parameter 'parameterName' has been declared but not used. "
"ArgCompleter.ps1","Warning","2","58","PSReviewUnusedParameter","The parameter 'commandAst' has been declared but not used. "
"ArgCompleter.ps1","Warning","2","71","PSReviewUnusedParameter","The parameter 'fakeBoundParameters' has been declared but not used. "
"ArgCompleter.ps1","Warning","8","11","PSReviewUnusedParameter","The parameter 'commandName' has been declared but not used. "
"ArgCompleter.ps1","Warning","8","25","PSReviewUnusedParameter","The parameter 'parameterName' has been declared but not used. "
"ArgCompleter.ps1","Warning","8","58","PSReviewUnusedParameter","The parameter 'commandAst' has been declared but not used. "
"ArgCompleter.ps1","Warning","15","11","PSReviewUnusedParameter","The parameter 'commandName' has been declared but not used. "
"ArgCompleter.ps1","Warning","15","25","PSReviewUnusedParameter","The parameter 'parameterName' has been declared but not used. "
"ArgCompleter.ps1","Warning","15","58","PSReviewUnusedParameter","The parameter 'commandAst' has been declared but not used. "
"ArgCompleter.ps1","Warning","27","11","PSReviewUnusedParameter","The parameter 'commandName' has been declared but not used. "
"ArgCompleter.ps1","Warning","27","25","PSReviewUnusedParameter","The parameter 'parameterName' has been declared but not used. "
"ArgCompleter.ps1","Warning","27","58","PSReviewUnusedParameter","The parameter 'commandAst' has been declared but not used. "
"ArgCompleter.ps1","Warning","27","71","PSReviewUnusedParameter","The parameter 'fakeBoundParameters' has been declared but not used. "
"Set-NIOSContext.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Set-NIOSContext' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Set-NIOSWebSession.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Set-NIOSWebSession' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"New-NIOSConnectionProfile.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'New-NIOSConnectionProfile' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Remove-NIOSConnectionProfile.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Remove-NIOSConnectionProfile' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Remove-NIOSConnectionProfile.ps1","Warning","41","9","PSUseSupportsShouldProcess","Whatif and/or Confirm manually defined in function Remove-NIOSConnectionProfile. Instead, please use SupportsShouldProcess attribute."
"Copy-NIOSDTCToBloxOne.ps1","Warning",,,"PSUseBOMForUnicodeEncodedFile","Missing BOM encoding for non-ASCII encoded file 'Copy-NIOSDTCToBloxOne.ps1'"
"Get-NIOSObject.ps1","Warning","200","20","PSPossibleIncorrectComparisonWithNull","$null should be on the left side of equality comparisons."
"Get-NIOSSchema.ps1","Warning",,,"PSUseBOMForUnicodeEncodedFile","Missing BOM encoding for non-ASCII encoded file 'Get-NIOSSchema.ps1'"
"New-NIOSObject.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'New-NIOSObject' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Remove-NIOSObject.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Remove-NIOSObject' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
"Set-NIOSObject.ps1","Warning","1","10","PSUseShouldProcessForStateChangingFunctions","Function 'Set-NIOSObject' has verb that could change system state. Therefore, the function has to support 'ShouldProcess'."
